"ProjectId","ProjectName","ResourceId","ResourceName","nivelamento","StartDate_novo","AssignmentPeakUnits","dia","mes","ano","Nivelamento1","Nivelamento2","AjusteFino","LinhadeBase","Flag_corrente","Data_INICIO","Data_FIM"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-05-08",0,8,5,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-05-15",0,15,5,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-05-22",0,22,5,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-05-29",0,29,5,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-06-05",0,5,6,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-06-12",0,12,6,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-06-19",0,19,6,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-06-26",0,26,6,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-07-03",1,3,7,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-07-10",0,10,7,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-07-17",0,17,7,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-07-24",0,24,7,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-07-31",0,31,7,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-08-07",1,7,8,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-08-14",0,14,8,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-08-21",0,21,8,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
"0c3eeb0b-78e3-ed11-aae2-5ccd5bfe8a75",PAREDE NORTE - MAC,"205ba2a9-189c-ed11-a630-00155d887f6c",BOMBA DE INJECAO GEOMAQ,"1","2023-08-28",0,28,8,2023,0,0,0,0,S,"2023-05-11","2999-01-01"
